Month,indice
09-18,0.48
08-18,-0.09
07-18,0.33
06-18,1.26
05-18,0.4
04-18,0.22
03-18,0.09
02-18,0.32
01-18,0.29
12-17,0.44
11-17,0.28
10-17,0.42
09-17,0.16
08-17,0.19
07-17,0.24
06-17,-0.23
05-17,0.31
04-17,0.14
03-17,0.25
02-17,0.33
01-17,0.38
12-16,0.3
11-16,0.18
10-16,0.26
09-16,0.08
08-16,0.44
07-16,0.52
06-16,0.35
05-16,0.78
04-16,0.61
03-16,0.43
02-16,0.9
01-16,1.27
12-15,0.96
11-15,1.01
10-15,0.82
09-15,0.54
08-15,0.22
07-15,0.62
06-15,0.79
05-15,0.74
04-15,0.71
03-15,1.32
02-15,1.22
01-15,1.24
12-14,0.78
11-14,0.51
10-14,0.42
09-14,0.57
08-14,0.25
07-14,0.01
06-14,0.4
05-14,0.46
04-14,0.67
03-14,0.92
02-14,0.69
01-14,0.55
12-13,0.92
11-13,0.54
10-13,0.57
09-13,0.35
08-13,0.24
07-13,0.03
06-13,0.26
05-13,0.37
04-13,0.55
03-13,0.47
02-13,0.6
01-13,0.86
12-12,0.79
11-12,0.6
10-12,0.59
09-12,0.57
08-12,0.41
07-12,0.43
06-12,0.08
05-12,0.36
04-12,0.64
03-12,0.21
02-12,0.45
01-12,0.56
12-11,0.5
11-11,0.52
10-11,0.43
09-11,0.53
08-11,0.37
07-11,0.16
06-11,0.15
05-11,0.47
04-11,0.77
03-11,0.79
02-11,0.8
01-11,0.83
12-10,0.63
11-10,0.83
10-10,0.75
09-10,0.45
08-10,0.04
07-10,0.01
06-10,0
05-10,0.43
04-10,0.57
03-10,0.52
02-10,0.78
01-10,0.75
12-09,0.37
11-09,0.41
10-09,0.28
09-09,0.24
08-09,0.15
07-09,0.24
06-09,0.36
05-09,0.47
04-09,0.48
03-09,0.2
02-09,0.55
01-09,0.48
12-08,0.28
11-08,0.36
10-08,0.45
09-08,0.26
08-08,0.28
07-08,0.53
06-08,0.74
05-08,0.79
04-08,0.55
03-08,0.48
02-08,0.49
01-08,0.54
12-07,0.74
11-07,0.38
10-07,0.3
09-07,0.18
08-07,0.47
07-07,0.24
06-07,0.28
05-07,0.28
04-07,0.25
03-07,0.37
02-07,0.44
01-07,0.44
12-06,0.48
11-06,0.31
10-06,0.33
09-06,0.21
08-06,0.05
07-06,0.19
06-06,-0.21
05-06,0.1
04-06,0.21
03-06,0.43
02-06,0.41
01-06,0.59
12-05,0.36
11-05,0.55
10-05,0.75
09-05,0.35
08-05,0.17
07-05,0.25
06-05,-0.02
05-05,0.49
04-05,0.87
03-05,0.61
02-05,0.59
01-05,0.58
12-04,0.86
11-04,0.69
10-04,0.44
09-04,0.33
08-04,0.69
07-04,0.91
06-04,0.71
05-04,0.51
04-04,0.37
03-04,0.47
02-04,0.61
01-04,0.76